rec_time	UTC	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Area	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Height	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Width	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Angle
00:00:03.651	1557996977670	166.497	126.605	166.497	126.605	739.2	35.944	26.185	0	0	0	0	0
00:00:03.667	1557996977686	165.606	126.945	165.606	126.945	655.476	34.112	24.466	0	0	0	0	0
00:00:03.684	1557996977703	164.892	126.895	164.892	126.895	651.859	33.808	24.55	0	0	0	0	0
00:00:03.701	1557996977720	165.409	127.168	165.409	127.168	624.27	30.344	26.194	0	0	0	0	0
00:00:03.717	1557996977736	166.185	126.522	166.185	126.522	622.166	31.867	24.858	0	0	0	0	0
00:00:03.734	1557996977753	111.213	87.418	166.66	127.672	639.28	32.199	25.279	0	0	0	0	0
00:00:03.751	1557996977770	165.729	126.825	165.729	126.825	678.004	33.516	25.757	0	0	0	0	0
00:00:03.767	1557996977786	167.687	126.541	167.687	126.541	679.131	35.427	24.408	0	0	0	0	0
00:00:03.784	1557996977803	165.371	126.083	165.371	126.083	568.164	30.22	23.938	0	0	0	0	0
00:00:03.801	1557996977820	167.351	126.911	167.351	126.911	626.946	33.128	24.096	0	0	0	0	0
00:00:03.817	1557996977836	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.834	1557996977853	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.851	1557996977870	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.867	1557996977886	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.884	1557996977903	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.901	1557996977920	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.917	1557996977936	166.306	126.897	166.306	126.897	522.447	32.289	20.602	0	0	0	0	0
00:00:03.934	1557996977953	166.753	126.268	166.753	126.268	565.099	28.866	24.925	0	0	0	0	0
00:00:03.951	1557996977970	166.735	126.753	166.735	126.753	659.237	32.623	25.729	0	0	0	0	0
00:00:03.967	1557996977986	167.497	126.002	167.497	126.002	610.533	32.069	24.24	0	0	0	0	0
00:00:03.984	1557996978003	192.605	105.245	167.073	126.752	676.648	32.799	26.267	0	0	0	0	0
00:00:04.001	1557996978020	167.836	126.655	167.836	126.655	619.784	31.391	25.139	0	0	0	0	0
00:00:04.017	1557996978036	168.311	127.127	168.311	127.127	709.665	35.569	25.403	0	0	0	0	0
00:00:04.034	1557996978053	166.944	127.137	166.944	127.137	631.461	34.759	23.131	0	0	0	0	0
00:00:04.051	1557996978070	167.785	127.597	167.785	127.597	628.016	33.335	23.987	0	0	0	0	0
00:00:04.067	1557996978086	0	0	0	0	0	0	0	0	0	0	0	0
00:00:04.084	1557996978103	0	0	0	0	0	0	0	0	0	0	0	0
00:00:04.101	1557996978120	0	0	0	0	0	0	0	0	0	0	0	0
00:00:04.117	1557996978136	0	0	0	0	0	0	0	0	0	0	0	0
00:00:04.134	1557996978153	0	0	0	0	0	0	0	0	0	0	0	0
00:00:04.151	1557996978170	0	0	0	0	0	0	0	0	0	0	0	0
00:00:04.167	1557996978186	197.403	101.432	171.992	123.12	586.339	32.695	22.834	0	0	0	0	0
00:00:04.184	1557996978203	196.896	100.626	171.779	122.325	640.167	35.758	22.795	0	0	0	0	0
00:00:04.201	1557996978220	196.226	101.613	170.816	122.571	630.775	35.864	22.394	0	0	0	0	0
